id_venta,fecha,region,categoria,producto,vendedor,segmento_cliente,unidades,precio_unitario,descuento_pct,ingreso,costo,utilidad
1,2023-01-01,Este,Deportes,Bicicleta,Hugo Reyes,Pyme,5,166190.0,0.2,664760.0,498570.0,166190.0
2,2023-01-01,Sur,Electronica,Parlante Bluetooth,Bruno Silva,Individual,2,25420.0,0.0,50840.0,30504.0,20336.0
3,2023-01-01,Este,Hogar,Aspiradora,Gabriela Nunez,Pyme,6,80310.0,0.15,409581.0,289116.0,120465.0
4,2023-01-01,Sur,Hogar,Aspiradora,Hugo Reyes,Pyme,5,77630.0,0.0,388150.0,232890.0,155260.0
5,2023-01-01,Sur,Oficina,Escritorio,Diego Rojas,Individual,6,97620.0,0.0,585720.0,351432.0,234288.0
6,2023-01-01,Centro,Ropa,Chaqueta,Ana Torres,Individual,4,33260.0,0.0,133040.0,79824.0,53216.0
7,2023-01-01,Sur,Ropa,Zapatillas,Carla Diaz,Corporativo,7,43080.0,0.0,301560.0,180936.0,120624.0
8,2023-01-01,Oeste,Oficina,Silla Ergonomica,Javier Castro,Individual,6,98360.0,0.0,590160.0,354096.0,236064.0
9,2023-01-01,Este,Oficina,Silla Ergonomica,Javier Castro,Individual,1,95340.0,0.0,95340.0,57204.0,38136.0
10,2023-01-01,Oeste,Deportes,Balon Futbol,Elena Vidal,Individual,4,12530.0,0.1,45108.0,30072.0,15036.0
11,2023-01-01,Este,Ropa,Gorra,Felipe Soto,Individual,2,5430.0,0.1,9774.0,6516.0,3258.0
12,2023-01-01,Sur,Electronica,Mouse,Elena Vidal,Corporativo,7,6760.0,0.1,42588.0,28392.0,14196.0
13,2023-01-01,Este,Oficina,Silla Ergonomica,Diego Rojas,Individual,4,94590.0,0.1,340524.0,227016.0,113508.0
14,2023-01-01,Oeste,Electronica,Mouse,Hugo Reyes,Pyme,1,6880.0,0.05,6536.0,4128.0,2408.0
15,2023-01-01,Este,Ropa,Zapatillas,Bruno Silva,Individual,7,42680.0,0.1,268884.0,179256.0,89628.0
16,2023-01-01,Oeste,Electronica,Mouse,Javier Castro,Individual,4,7220.0,0.05,27436.0,17328.0,10108.0
17,2023-01-01,Sur,Electronica,Mouse,Elena Vidal,Pyme,2,7310.0,0.0,14620.0,8772.0,5848.0
18,2023-01-01,Sur,Oficina,Silla Ergonomica,Ana Torres,Individual,5,83400.0,0.05,396150.0,250200.0,145950.0
19,2023-01-01,Norte,Hogar,Set de Ollas,Hugo Reyes,Pyme,7,40350.0,0.05,268328.0,169470.0,98858.0
20,2023-01-01,Oeste,Ropa,Camiseta,Diego Rojas,Pyme,1,8400.0,0.1,7560.0,5040.0,2520.0
21,2023-01-02,Norte,Hogar,Aspiradora,Gabriela Nunez,Corporativo,6,76470.0,0.1,412938.0,275292.0,137646.0
22,2023-01-02,Sur,Oficina,Resma de Papel,Ana Torres,Pyme,2,3830.0,0.0,7660.0,4596.0,3064.0
23,2023-01-02,Este,Hogar,Lampara LED,Hugo Reyes,Pyme,7,9750.0,0.2,54600.0,40950.0,13650.0
24,2023-01-02,Sur,Deportes,Mancuernas,Carla Diaz,Individual,1,18230.0,0.0,18230.0,10938.0,7292.0
25,2023-01-02,Oeste,Ropa,Camiseta,Gabriela Nunez,Individual,6,7710.0,0.05,43947.0,27756.0,16191.0
26,2023-01-02,Oeste,Deportes,Balon Futbol,Gabriela Nunez,Individual,2,12930.0,0.1,23274.0,15516.0,7758.0
27,2023-01-02,Sur,Hogar,Set de Ollas,Hugo Reyes,Pyme,2,39200.0,0.15,66640.0,47040.0,19600.0
28,2023-01-02,Sur,Ropa,Pantalon,Felipe Soto,Corporativo,7,15660.0,0.15,93177.0,65772.0,27405.0
29,2023-01-02,Oeste,Oficina,Silla Ergonomica,Ana Torres,Individual,5,92320.0,0.2,369280.0,276960.0,92320.0
30,2023-01-02,Este,Hogar,Cafetera,Diego Rojas,Individual,5,30420.0,0.0,152100.0,91260.0,60840.0
31,2023-01-02,Oeste,Oficina,Silla Ergonomica,Felipe Soto,Individual,2,87470.0,0.2,139952.0,104964.0,34988.0
32,2023-01-02,Oeste,Ropa,Gorra,Isidora Munoz,Individual,1,6240.0,0.05,5928.0,3744.0,2184.0
33,2023-01-02,Centro,Oficina,Impresora,Hugo Reyes,Pyme,5,72120.0,0.1,324540.0,216360.0,108180.0
34,2023-01-02,Este,Deportes,Bototas Trekking,Bruno Silva,Individual,5,53960.0,0.2,215840.0,161880.0,53960.0
